Date,Avg_LaeqD,Avg_LaeqN
2018-01,52.906451612903226,43.71290322580645
2018-02,52.59285714285714,45.17857142857143
2018-03,52.66129032258065,44.81935483870968
2018-04,49.80333333333333,41.68666666666666
2018-05,53.325806451612905,46.75483870967742
2018-06,53.43666666666666,46.64
2018-07,53.05483870967742,46.60322580645161
2018-08,52.564516129032256,46.46774193548387
2018-09,53.516666666666666,46.88333333333333
2018-10,53.63225806451613,46.39354838709678
2018-11,50.86,42.806666666666665
2018-12,52.13225806451613,44.52903225806452
2019-01,51.97741935483871,44.23870967741936
2019-02,51.88928571428572,44.503571428571426
2019-03,47.89354838709678,41.461290322580645
2019-04,30.386666666666667,24.613333333333333
2019-05,38.377419354838715,30.1
2019-06,33.01,26.436666666666667
2019-07,52.49677419354839,44.94193548387097
2019-08,52.89677419354839,45.33870967741935
2019-09,53.4,45.86666666666667
2019-10,45.167741935483875,32.458064516129035
2019-11,53.46666666666667,45.82
2019-12,52.02903225806452,43.95161290322581
2020-01,51.28387096774193,43.68387096774194
2020-02,49.43448275862069,39.720689655172414
2020-03,32.05483870967742,21.299999999999997
2020-04,11.233333333333333,1.0666666666666667
2020-05,20.019354838709678,2.4935483870967743
2020-06,26.613333333333333,1.9866666666666668
2020-07,47.193548387096776,36.406451612903226
2020-08,48.13548387096775,40.229032258064514
2020-09,48.38333333333333,40.78333333333333
2020-10,47.94193548387097,40.0516129032258
2020-11,45.4,37.28333333333333
2020-12,46.89677419354839,38.44516129032258
2021-01,42.067741935483866,36.97096774193548
2021-02,44.146428571428565,32.80357142857143
2021-03,44.96774193548387,34.02258064516129
2021-04,27.17,16.796666666666667
2021-05,46.725806451612904,35.41612903225807
2021-06,47.083333333333336,39.92666666666666
2021-07,48.803225806451614,42.95483870967742
2021-08,50.16129032258065,44.0258064516129
2021-09,50.32666666666667,44.39
2021-10,50.193548387096776,43.832258064516125
2021-11,49.47666666666667,43.50333333333333
2021-12,48.3258064516129,41.70322580645161
2022-01,48.00322580645161,41.12580645161291
2022-02,48.82857142857143,40.55714285714286
2022-03,49.251612903225805,41.32258064516129
2022-04,50.973333333333336,44.57
2022-05,51.458064516129035,44.538709677419355
2022-06,51.69666666666667,45.47666666666667
2022-07,51.65806451612904,44.777419354838706
2022-08,50.91612903225807,45.12903225806452
2022-09,52.27333333333333,45.75
2022-10,43.464516129032255,35.76774193548387
2022-11,51.28333333333333,44.693333333333335
2022-12,50.52258064516129,43.722580645161294
2023-01,50.91612903225807,44.21612903225807
2023-02,50.93571428571429,44.167857142857144
2023-03,51.61612903225806,45.435483870967744
2023-04,52.666666666666664,43.96333333333334
2023-05,52.122580645161285,45.84193548387096
2023-06,51.733333333333334,45.95333333333333
2023-07,51.23548387096774,45.225806451612904
2023-08,51.82258064516129,45.95161290322581
2023-09,48.1,42.8
2023-10,53.50322580645161,45.95161290322581
2023-11,53.41,46.6
2023-12,52.49677419354839,44.79677419354839
2024-01,52.064516129032256,45.03225806451613
2024-02,53.300000000000004,46.186206896551724
2024-03,53.696774193548386,47.0516129032258
2024-04,53.830000000000005,45.26
