Date,Avg_LaeqD,Avg_LaeqN
2018-01,45.96385867259154,41.84074342426718
2018-02,42.89374330063505,40.3947098810803
2018-03,44.65415329850825,40.985237748049
2018-04,45.83510892524504,39.52290852398423
2018-05,47.39189351973798,41.73700827998782
2018-06,47.68788704292576,38.9951477560902
2018-07,47.85876095167492,37.18258330960998
2018-08,42.56464012121556,39.5455999886425
2018-09,43.05509659953562,38.461068638757105
2018-10,45.99130616815959,40.81647245763908
2018-11,45.24667339364144,41.84524967840034
2018-12,42.73725285900771,42.60434086068365
2019-01,42.03721777972406,40.041478803869275
2019-02,43.600364411784405,38.25733634538052
2019-03,41.767114917284005,42.13696829729344
2019-04,44.407874467759,40.61480598548441
2019-05,42.495684719676646,41.58991399355513
2019-06,38.684649171119354,37.908512357843776
2019-07,40.933798844262355,36.64263934092819
2019-08,37.57565806514177,36.858441071366435
2019-09,42.80704205894803,39.76311278462107
2019-10,37.144992832595435,37.07073955680509
2019-11,42.11138763178074,41.793873591087106
2019-12,40.43778604356581,40.68015361269639
2020-01,38.72802290962264,37.82031467453576
2020-02,38.37905718801527,37.21721310368516
2020-03,41.054882872262574,36.25070695544533
2020-04,48.3,24.9
2020-07,37.573620618557655,35.33788730291392
2020-08,35.64326954666828,35.36986454899081
2020-09,37.9231203439938,31.876325598359237
2020-10,36.05609825470846,34.4597437606334
2020-11,33.358816363744936,36.22844000127495
2020-12,34.98665747318617,37.62004016694156
2021-01,33.78468677666507,33.86782483974396
2021-02,33.738185403152634,36.245104674453124
2021-03,31.35472443693179,30.772864652277253
2021-04,33.9134003186383,30.35131759580826
2021-05,46.30507930429334,34.734168345942194
2021-06,34.38796379101616,36.16640247630886
2021-07,35.0329115488358,32.839851749250016
2021-08,39.14466346352355,36.95964413418234
2021-09,34.40815992775623,35.79053065488259
2021-10,34.640828332740334,37.162647152821705
2021-11,34.41704615314006,38.730256064695055
2021-12,35.78929588294232,39.05744766238217
2022-01,37.97446861153242,35.213466506238795
2022-02,37.437214374865526,39.69451588588796
2022-03,32.46826830739794,39.25999426064521
2022-04,36.78056172354808,37.54745997189846
2022-05,34.82080466579244,37.20688973417915
2022-06,34.84843758497853,38.732430789133645
2022-07,38.078890833518855,38.536750236021234
2022-08,35.83039740817312,37.26933404279507
2022-09,33.615151806753815,38.25467260214483
2022-10,35.80245833986893,39.829651749227565
2022-11,34.46768896064482,41.816348579122746
2022-12,36.89688534767707,42.35783772674254
2023-01,35.51648568899816,42.41912193914348
2023-02,37.667500778445294,41.61988791933908
2023-03,36.644232898191134,40.317521174135976
2023-04,39.47127637734123,40.71370379103076
2023-05,40.491388089787776,42.20476528854313
2023-06,40.48296029606202,41.53730930208769
2023-07,29.579797539885853,36.063718549559894
2023-08,37.12421368417945,40.8312177189871
2023-09,38.1728061783724,41.244276657838384
2023-10,39.835965571857315,40.82050971624668
2023-11,41.89119763299289,42.69135618924655
2023-12,39.30629863276361,39.29034052409169
2024-01,39.80869815379654,40.75488610893583
2024-02,39.57460102007664,41.49704764481978
2024-03,41.8517927316238,42.582626858198935
2024-04,39.62159695533265,42.769829890896176
