Date,Avg_LaeqD,Avg_LaeqN
2018-01,47.041935483870965,42.851612903225806
2018-02,46.45357142857143,42.43214285714286
2018-03,46.89354838709678,43.54516129032258
2018-04,49.49,42.53
2018-05,49.196774193548386,45.619354838709675
2018-06,51.443333333333335,47.276666666666664
2018-07,46.99354838709677,45.561290322580646
2018-08,44.21290322580645,44.4483870967742
2018-09,45.376666666666665,45.78
2018-10,44.34838709677419,44.70967741935484
2018-11,41.913333333333334,41.86333333333334
2018-12,41.229032258064514,40.561290322580646
2019-01,39.803225806451614,41.12903225806452
2019-02,40.70357142857143,41.089285714285715
2019-03,40.803225806451614,42.561290322580646
2019-04,40.36,43.31666666666667
2019-05,45.3,45.03225806451613
2019-06,44.56333333333334,44.156666666666666
2019-07,40.748387096774195,43.803225806451614
2019-08,43.04838709677419,44.3258064516129
2019-09,43.846666666666664,43.336666666666666
2019-10,39.92903225806452,42.961290322580645
2019-11,44.05333333333333,43.78
2019-12,39.73548387096774,39.18064516129032
2020-01,39.16129032258065,38.61290322580645
2020-02,29.33793103448276,35.275862068965516
2020-03,16.861290322580647,18.1
2020-04,4.85,6.27
2020-05,7.461290322580646,17.26774193548387
2020-06,13.18,14.110000000000001
2020-07,29.36774193548387,27.94516129032258
2020-08,38.019354838709674,36.983870967741936
2020-09,35.85666666666667,29.256666666666664
2020-10,34.13548387096775,24.04516129032258
2020-11,24.240000000000002,26.56
2020-12,29.274193548387096,18.83225806451613
2021-01,21.59032258064516,11.82258064516129
2021-02,13.653571428571428,12.046428571428573
2021-03,14.593548387096773,18.74516129032258
2021-04,29.836666666666666,27.973333333333336
2021-05,32.958064516129035,26.041935483870965
2021-06,38.89,36.14666666666667
2021-07,35.980645161290326,38.28064516129032
2021-08,34.91612903225807,37.645161290322584
2021-09,38.28666666666666,33.13666666666667
2021-10,37.480645161290326,34.748387096774195
2021-11,28.446666666666665,32.04
2021-12,30.548387096774192,31.580645161290324
2022-01,23.20967741935484,30.187096774193545
2022-02,24.396428571428572,33.982142857142854
2022-03,18.37741935483871,26.05806451612903
2022-04,10.94,15.593333333333334
2022-05,32.68064516129032,33.65483870967742
2022-06,34.193333333333335,31.0
2022-07,35.70322580645161,36.31612903225806
2022-08,24.083870967741937,29.683870967741935
2022-09,33.98,36.29666666666667
2022-10,30.59032258064516,26.845161290322583
2022-11,22.916666666666668,29.220000000000002
2022-12,21.55806451612903,25.206451612903226
2023-01,27.93548387096774,29.44516129032258
2023-02,27.832142857142856,35.525
2023-03,23.612903225806452,28.780645161290323
2023-04,33.696666666666665,35.05
2023-05,32.10645161290322,35.02258064516129
2023-06,38.22666666666667,37.830000000000005
2023-07,29.141935483870967,38.42903225806452
2023-08,37.75806451612903,34.987096774193546
2023-09,33.42666666666666,32.93
2023-10,30.951612903225808,35.10967741935484
2023-11,31.27,33.163333333333334
2023-12,32.92258064516129,34.08709677419355
2024-01,29.77741935483871,33.667741935483875
2024-02,41.44137931034483,39.324137931034485
2024-03,37.748387096774195,42.15161290322581
2024-04,36.263333333333335,40.593333333333334
