Month,Avg_LaeqD,Avg_LaeqN
1,57.91523259976565,50.98618470292682
2,56.84480542045755,50.65574715831329
3,56.169763750358435,49.87828197357874
5,36.3,41.3
7,53.66878882936543,45.84017344612658
8,54.521451933063275,47.171651584837406
9,54.60337920609257,47.22505690419932
10,54.05075417680132,47.31403916666818
11,52.24690867958025,46.45705186682263
12,53.19401632434726,46.81896676961109
