Date,Avg_LaeqD,Avg_LaeqN
2018-01,67.20941069181544,61.33732834304631
2018-02,68.31474274795032,61.68662663707728
2018-03,68.71663999108448,61.76090415362469
2018-04,69.22262916991677,62.5110669325733
2018-05,69.6658618964328,63.78779332591903
2018-06,69.26440820325232,62.44894368275947
2018-07,69.372795327524,62.68378326665655
2018-08,69.83147642349059,63.35387932051204
2018-09,69.90014617581312,63.148751046228384
2018-10,70.00856249184734,63.00172311213284
2018-11,70.16352767321557,63.09613474823273
2018-12,68.90490939951366,62.220683901516395
2019-01,68.57023283365423,61.233370623627906
2019-02,68.46520110046501,60.685325601292625
2019-03,68.32383703753855,61.68795881040673
2019-07,69.66734858080291,61.140459155676304
2019-08,70.1976627873686,62.36246342370378
2019-09,70.12407995653075,62.23399559924063
2019-10,69.28627714983266,60.33337204975766
2019-11,70.27735824075106,63.260755496435465
2019-12,68.85752551515048,61.19193028527057
2020-01,68.4739218399264,60.42995623050439
2020-02,66.81189399774914,60.452160778781085
2020-03,67.17898091577048,61.034192479421364
2020-07,64.6436076175682,56.368564767174966
2020-08,66.05517844829293,58.944020786621095
2020-09,65.7092641517826,57.99581624585184
2020-10,64.93331670824374,58.33907215224639
2020-11,62.937152295600846,57.32682576864289
2020-12,64.59585866781994,58.71220460641804
2021-01,62.44634380901881,56.87349903623898
2021-02,61.24199957407984,55.86950447875968
2021-03,61.26836164412373,54.24014073076303
2021-04,62.150880082765376,56.65170219271993
2021-05,63.77291971752962,57.875539718462356
2021-06,65.50478993796068,58.90031050811107
2021-07,67.18821159399404,60.76626657120963
2021-08,67.47509712859488,61.11946650620248
2021-09,67.4623577758151,61.02505424882046
2021-10,67.16649385190068,60.939010523961734
2021-11,66.36875198334971,59.43394041027295
2021-12,65.8265799280584,59.666601976154105
2022-01,64.71136583759728,58.02456815289119
2022-02,64.89013533764431,58.18731632619446
2022-03,66.14690445346294,59.679413141472736
2022-04,66.77988892322306,61.3945033423464
2022-05,67.23266154424599,60.45556515704517
2022-06,68.6631542671745,62.121239250718496
2022-07,68.20611741828326,61.295377684816394
2022-08,68.88421293088139,62.478278665392935
2022-09,68.88138883321301,62.00894704834481
2022-10,67.83998219387725,59.964396637006644
2022-11,68.1682200265975,61.649821755109635
2022-12,67.26637202688062,60.60762308601323
2023-01,67.62501642475135,61.17630084987248
2023-02,66.75751980252689,60.360467859950035
2023-03,67.50552522085444,60.943633663669594
2023-04,68.70841115206477,61.685252945691566
2023-05,68.98451052882015,62.454706941920165
2023-06,69.04053018875102,62.751207290084956
2023-07,68.38784344750563,61.43416007081364
2023-08,69.14913671687216,63.077516172233445
2023-09,69.4295745883462,63.409008353154775
2023-10,68.9291411182898,61.45405171243
2023-11,68.57654115741123,62.425385283132485
2023-12,68.00246762721014,61.5408813428147
2024-01,67.46872191469295,61.00899810233369
2024-02,68.72547628907073,62.8207041500837
2024-03,69.38655205265457,63.25195924673282
2024-04,68.997763261223,62.24949114464288
