Date,Avg_LaeqD,Avg_LaeqN
2018-01,46.119354838709675,41.99677419354839
2018-02,54.714285714285715,49.339285714285715
2018-03,53.63548387096775,49.13225806451613
2018-04,54.84666666666667,48.53
2018-05,53.38709677419355,49.145161290322584
2018-06,56.85,52.7
2018-07,58.50645161290323,52.75483870967742
2018-08,56.061290322580646,50.54516129032258
2018-09,57.89666666666667,51.9
2018-10,55.79677419354839,50.512903225806454
2018-11,52.34,48.96
2018-12,56.88709677419355,51.04516129032258
2019-01,55.21290322580645,49.88709677419355
2019-02,57.86785714285714,51.68214285714286
2019-03,58.73225806451613,52.47096774193548
2019-04,56.00333333333333,50.480000000000004
2019-05,58.277419354838706,50.53548387096774
2019-06,56.526666666666664,52.42666666666666
2019-07,40.748387096774195,43.803225806451614
2019-08,57.538709677419355,52.012903225806454
2019-09,58.27333333333333,52.76
2019-10,58.39032258064516,52.34193548387096
2019-11,51.82,48.96
2019-12,57.229032258064514,51.13225806451613
2020-01,58.36774193548387,51.248387096774195
2020-02,55.77241379310345,47.62413793103448
2020-03,47.12580645161291,38.91935483870968
2020-04,35.940000000000005,41.05333333333333
2020-05,46.54838709677419,36.693548387096776
2020-06,48.68666666666666,39.78
2020-07,53.05806451612903,47.803225806451614
2020-08,52.49032258064516,46.90967741935484
2020-09,51.333333333333336,46.413333333333334
2020-10,50.88387096774194,44.5
2020-11,49.586666666666666,43.74333333333333
2020-12,44.122580645161285,38.39354838709678
2021-01,48.84516129032258,38.41290322580645
2021-02,46.11071428571428,43.03214285714286
2021-03,52.13548387096775,45.28387096774193
2021-04,51.71666666666667,45.806666666666665
2021-05,51.354838709677416,44.354838709677416
2021-06,53.9,49.21333333333334
2021-07,55.596774193548384,49.79354838709677
2021-08,56.55483870967742,51.274193548387096
2021-09,54.55333333333333,47.983333333333334
2021-10,51.91290322580645,47.34838709677419
2021-11,53.37,48.64666666666667
2021-12,52.961290322580645,48.38387096774194
2022-01,55.13870967741936,48.987096774193546
2022-02,53.910714285714285,48.392857142857146
2022-03,49.95161290322581,45.94193548387097
2022-04,32.26,28.87
2022-05,55.561290322580646,48.60322580645161
2022-06,51.919999999999995,50.733333333333334
2022-07,56.277419354838706,51.65806451612904
2022-08,48.458064516129035,47.70322580645161
2022-09,52.53333333333333,49.763333333333335
2022-10,54.858064516129026,50.593548387096774
2022-11,48.776666666666664,45.88333333333333
2022-12,49.58064516129032,46.832258064516125
2023-01,52.95161290322581,46.99677419354839
2023-02,56.28214285714286,50.385714285714286
2023-03,54.07741935483871,48.39354838709678
2023-04,53.45666666666667,49.37
2023-05,51.690322580645166,48.400000000000006
2023-06,53.03,50.09666666666667
2023-07,57.038709677419355,52.596774193548384
2023-08,54.196774193548386,51.49354838709677
2023-09,52.84666666666667,49.09
2023-10,56.33870967741935,51.516129032258064
2023-11,53.28666666666666,47.583333333333336
2023-12,54.05806451612903,49.696774193548386
2024-01,51.645161290322584,46.670967741935485
2024-02,48.220689655172414,37.07586206896552
2024-03,51.483870967741936,48.37419354838709
2024-04,55.03333333333333,50.769999999999996
