Date,Avg_LaeqD,Avg_LaeqN
2018-01,47.61015714016544,44.572466703901306
2018-02,47.64259973760911,38.72192438293692
2018-03,48.69089372629682,45.37402457628551
2018-04,59.883384850585756,52.97843646991915
2018-05,46.173965861754596,38.891226949690385
2018-06,48.954200865493895,42.756707169160165
2018-07,50.58320125052164,42.529775061110264
2018-08,50.088061545162006,42.452110934479734
2018-09,51.829127897674816,43.97405302839783
2018-10,51.014871553816306,44.77281932001712
2018-11,52.80321386564275,49.6186537657647
2018-12,47.739313531030945,40.794276295690494
2019-01,47.83872076465769,42.693228250189634
2019-02,49.03823240648252,42.84945360575739
2019-03,60.126586476680295,52.98463162630561
2019-04,61.88884450674622,55.00360552553783
2019-05,62.75759902167144,55.5630243307995
2019-06,62.29258445879716,55.451027717122024
2019-07,57.15279153619778,52.4131354006521
2019-08,56.240216853909544,50.98871683164556
2019-09,56.230154026628824,50.961545759138914
2019-10,60.70953074104515,53.01686096598669
2019-11,50.24560781517529,43.89430489714194
2019-12,52.53013165733846,45.532247688190026
2020-01,53.66952107797745,46.546798225489916
2020-02,51.97612899042849,44.899471273770864
2020-03,49.44844332706702,43.50420830363546
2020-04,46.68029535329601,41.30338354769095
2020-05,49.003048771987196,42.73908494603803
2020-06,51.61932593859091,43.70769410304716
2020-07,45.957642898414186,38.789935138555386
2020-08,46.4154290277868,42.22464767961392
2020-09,47.07769606521743,43.055432172634255
2020-10,46.033556796572114,43.468275432663916
2020-11,47.55167666752008,41.469460835041254
2020-12,44.4955983046965,41.473661104676
2021-01,46.604241626045095,42.37091494233492
2021-02,47.029524393146886,41.352547078966765
2021-03,45.67243850619406,40.10918533331505
2021-04,50.28818310102231,45.12968481771392
2021-05,50.346712636452516,44.34275555638841
2021-06,48.84681940247562,43.11242515712352
2021-07,47.59642577665482,42.919924434446166
2021-08,49.10534788176668,42.60511314571039
2021-09,48.27415592955078,43.43353762006453
2021-10,50.836622877312806,46.72336131537624
2021-11,48.49494702450806,44.19760396858513
2021-12,47.63314635516471,42.912369044250894
2022-01,48.43345270518114,44.79922639090639
2022-02,48.92026792280876,42.75491847913923
2022-03,50.93426266531079,47.24997361426187
2022-04,46.13798647561221,40.99025725205373
2022-05,47.74558693348869,42.13770138627495
2022-06,47.89722566608976,44.4531202720283
2022-07,49.057098374210575,42.89384936927462
2022-08,48.04990550109987,42.60057413213719
2022-09,48.72447518592609,45.70694279449509
2022-10,59.30149166775868,51.927890389149304
2022-11,48.74287721552336,38.36490297551868
2022-12,51.50401413830557,47.40738545737547
2023-01,48.725908224245806,40.4294855989381
2023-02,49.41803871504946,42.797090151777
2023-03,50.070115337028525,41.892356936311444
2023-04,46.35819872519319,42.67420971604264
2023-05,46.19301156821617,41.600309260484565
2023-06,52.007774561712985,44.66004497707807
2023-07,48.70698753847026,43.4098818238231
2023-08,48.56317883392493,40.61665342367168
2023-09,55.94127144233751,50.14806377269365
2023-10,49.90234855348262,45.147719618614346
2023-11,48.608891294857145,43.557065310654444
2023-12,48.6059402301558,44.850067897960045
2024-01,49.241592494273554,44.048768185259306
2024-02,47.89241983594215,42.04194889617648
2024-03,44.98569259978208,42.06973403572292
2024-04,47.42658349171053,42.89799956838852
